Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Battery type,AC charging time,Battery capacity,Previous owners,Warranty until,Price
Opel,Astra,Red,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,77,999.0,104,Euro 6,59391,2018,No battery type class,0.0,0.0,Unknown,3.0,14299.0
BMW,Z4,Black,Other interior color,Full leather interior,Cabriolet,2/3 doors,2,Petrol,Automatic,4x2,190,1998.0,133,Euro 6,18121,2020,No battery type class,0.0,0.0,1,4.0,47299.0
Volkswagen,up!,Blue,Grey interior,Cloth interior,Hatchback,4/5 doors,4,Petrol,Automatic,4x2,61,999.0,112,No emission class,31091,2021,No battery type class,0.0,36.0,1,3.0,16899.0
Mercedes-Benz,GLE 450,Grey,Black interior,Alcantara interior,SUV / offroad,4/5 doors,7,Petrol,Automatic,4x4,270,2999.0,190,Euro 6d-TEMP,46200,2019,No battery type class,0.0,0.0,1,4.0,66949.0
Dacia,Sandero,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,LPG,Manual,4x2,74,999.0,119,Euro 6,22094,2021,No battery type class,0.0,0.0,2,4.0,15899.0
Citroen,C3,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,81,1199.0,120,Euro 6,5800,2022,No battery type class,0.0,0.0,1,4.0,23599.0
Kia,Rio,Red,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,88,998.0,114,Euro 6,36000,2020,No battery type class,0.0,0.0,1,4.0,15799.0
Seat,Ibiza,White,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,999.0,107,Euro 6d-TEMP,19939,2020,No battery type class,0.0,0.0,1,4.0,15699.0
Volkswagen,T-Roc,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,119,Euro 6,36742,2021,No battery type class,0.0,0.0,Unknown,3.0,26799.0
Volkswagen,Golf,Blue,Black interior,Other interior material,Hatchback,4/5 doors,5,Diesel,Manual,4x2,81,1598.0,89,Euro 6,135000,2015,No battery type class,0.0,0.0,2,3.0,11399.0
Kia,Stonic,Black,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,88,998.0,107,Euro 6d,0,2023,No battery type class,0.0,0.0,1,4.0,28049.0
BMW,320,Black,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,135,1998.0,130,Euro 6d,50,2023,No battery type class,0.0,0.0,Unknown,4.0,72699.0
Kia,Stonic,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,88,998.0,114,Euro 6d-TEMP,27393,2022,No battery type class,0.0,0.0,1,4.0,23599.0
Mercedes-Benz,Sprinter,White,Black interior,Full leather interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,110,1950.0,246,Euro 6,85404,2021,No battery type class,0.0,0.0,1,3.0,36599.0
Audi,Q2,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,110,1968.0,134,Euro 6d-TEMP,27750,2023,No battery type class,0.0,0.0,1,4.0,36199.0
Skoda,Octavia,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,147,1968.0,116,Euro 6d,14950,2023,No battery type class,0.0,0.0,Unknown,3.0,42099.0
Opel,Corsa,White,Black interior,Part leather interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,1199.0,98,Euro 6d,29001,2022,No battery type class,0.0,0.0,1,3.0,18049.0
MINI,Cooper,Black,Other interior color,Part leather interior,Hatchback,2/3 doors,5,Petrol,Automatic,4x2,100,1499.0,112,Euro 6d,0,2023,No battery type class,0.0,0.0,Unknown,4.0,32099.0
Peugeot,3008,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,133,1598.0,131,Euro 6d-TEMP,68490,2019,No battery type class,0.0,0.0,1,3.0,28899.0
Volkswagen,Touareg,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,170,2967.0,182,No emission class,68161,2019,No battery type class,0.0,0.0,1,3.0,40399.0
Audi,A4,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,110,1984.0,131,Euro 6d-TEMP,20299,2023,No battery type class,0.0,0.0,1,4.0,42399.0
Hyundai,i30,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,88,1498.0,127,No emission class,9181,2022,No battery type class,0.0,0.0,Unknown,5.0,21349.0
Ford,Transit,Blue,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,74,2198.0,199,Euro 6,102000,2014,No battery type class,0.0,0.0,Unknown,5.0,16349.0
Volkswagen,T7 Multivan,Orange,Black interior,Full leather interior,MPV/VAN,4/5 doors,7,Petrol,Automatic,4x2,150,1984.0,175,Euro 6d,21919,2022,No battery type class,0.0,0.0,1,3.0,62299.0
Renault,Kadjar,Blue,Beige interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,85,1461.0,115,Euro 6,91367,2020,No battery type class,0.0,0.0,1,4.0,16599.0
Volkswagen,Golf,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,1502.0,0,Euro 6d-TEMP,26207,2020,Lithium-ion (Li-ion),5.0,36.0,Unknown,3.0,21449.0
Volvo,XC60,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,228,1969.0,177,Euro 6,65459,2019,No battery type class,0.0,0.0,Unknown,3.0,37749.0
Citroen,Jumper,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,96,1997.0,159,Euro 6,94936,2017,No battery type class,0.0,0.0,Unknown,4.0,19599.0
BMW,320,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,135,1998.0,130,Euro 6d,40200,2020,No battery type class,0.0,0.0,1,4.0,37299.0
Seat,Ateca,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,140,1984.0,156,Euro 6d,50,2023,No battery type class,0.0,0.014084507042253521,1,4.0,38249.0
Seat,Ibiza,Red,Grey interior,Cloth interior,Hatchback,4/5 doors,5,CNG,Manual,4x2,66,999.0,95,Euro 6d,8773,2023,No battery type class,0.0,0.0,1,4.0,16249.0
Opel,Corsa,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,55,1199.0,93,Euro 6d,64420,2020,No battery type class,0.0,0.0,1,3.0,13749.0
Skoda,Octavia,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,117,No emission class,54700,2021,No battery type class,0.0,0.0,Unknown,3.0,27749.0
Mercedes-Benz,A 200,Black,Black interior,Full leather interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,120,1332.0,134,Euro 6,14315,2022,No battery type class,0.0,0.0,Unknown,3.0,34599.0
Audi,Q3,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,92,1395.0,133,Euro 6,30031,2018,No battery type class,0.0,0.0,Unknown,4.0,22149.0
Cupra,Ateca,White,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,221,1984.0,175,Euro 6d,23800,2022,No battery type class,0.0,0.0,1,3.0,42099.0
BMW,218 Active Tourer,Black,Black interior,Alcantara interior,MPV,4/5 doors,5,Petrol,Automatic,4x2,100,1499.0,153,Euro 6d,0,2023,No battery type class,0.0,0.0,Unknown,4.0,47599.0
Hyundai,Kona,Silver,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,146,1598.0,124,Euro 6d,100,2023,No battery type class,0.0,0.0,Unknown,5.0,39799.0
Volkswagen,Tiguan,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,130,Euro 6,14000,2022,No battery type class,0.0,0.0,1,3.0,49149.0
Renault,Captur,Blue,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,66,898.0,123,Euro 6,59711,2019,No battery type class,0.0,0.0,Unknown,5.0,15899.0
Opel,Corsa,Blue,Black interior,Part leather interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,1199.0,98,Euro 6d,17668,2021,No battery type class,0.0,0.0,1,3.0,16349.0
Opel,Astra,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,100,1598.0,101,Euro 6,101032,2018,No battery type class,0.0,0.0,1,3.0,13949.0
Volkswagen,up!,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,4,Petrol,Automatic,4x2,61,999.0,112,Euro 6d,8300,2022,No battery type class,0.0,10.2,1,3.0,21499.0
Mercedes-Benz,GLE 63 AMG,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,430,5461.0,278,Euro 6d-TEMP,89988,2019,No battery type class,0.0,0.0,Unknown,4.0,68949.0
BMW,Z4,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,2,Petrol,Automatic,4x2,145,1998.0,161,No emission class,0,2023,No battery type class,0.0,0.0,Unknown,4.0,51449.0
Ford,Focus,Brown,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,92,999.0,108,Euro 6,50000,2020,No battery type class,0.0,0.0,Unknown,5.0,20899.0
Volkswagen,Golf,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,147,1968.0,117,Euro 6d-TEMP,20,2023,No battery type class,0.0,0.0,Unknown,3.0,40049.0
Renault,Captur,Blue,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,66,898.0,113,Euro 6,51219,2016,No battery type class,0.0,0.0,Unknown,8.0,12899.0
Audi,A1,Red,Black interior,Full leather interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,999.0,119,Euro 6,59604,2021,No battery type class,0.0,0.0,1,4.0,20599.0
Opel,Corsa,Red,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,1199.0,98,Euro 6d,3299,2022,No battery type class,0.0,0.0,1,3.0,17049.0
Audi,A4,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,150,1968.0,120,Euro 6d,25,2023,No battery type class,0.0,0.0,Unknown,4.0,52149.0
Volkswagen,Tiguan,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,81,1968.0,139,Euro 5,174500,2015,No battery type class,0.0,0.0,2,3.0,11799.0
Volkswagen,Caddy,Grey,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,Petrol,Manual,4x2,84,1498.0,130,Euro 6d,12900,2023,No battery type class,0.0,0.0,1,3.0,34049.0
BMW,520,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,140,1995.0,114,Euro 6,120300,2017,No battery type class,0.0,0.014084507042253521,Unknown,4.0,20349.0
Mercedes-Benz,A 180,White,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,100,1332.0,133,Euro 6d,33897,2022,No battery type class,0.0,0.0,1,4.0,29449.0
Volkswagen,Caddy,Red,Black interior,Velour interior,MPV/VAN,4/5 doors,5,Petrol,Automatic,4x2,84,1498.0,134,Euro 6d,12000,2023,No battery type class,0.0,0.0,1,3.0,39499.0
Volkswagen,T-Cross,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,81,1000.0,112,Euro 6d,0,2023,No battery type class,0.0,0.0,Unknown,3.0,34149.0
Peugeot,308,Grey,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,82,1199.0,101,Euro 6,68827,2020,No battery type class,0.0,0.0,Unknown,3.0,17099.0
Audi,Q2,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,999.0,119,Euro 6,4999,2023,No battery type class,0.0,0.0,1,4.0,28899.0
Hyundai,i10,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,4,Petrol,Manual,4x2,49,998.0,97,Euro 6d,6669,2023,No battery type class,0.0,0.0,Unknown,5.0,14549.0
Mazda,CX-5,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,110,2191.0,132,Euro 6d,30358,2021,No battery type class,0.0,0.0,1,3.0,25699.0
Mercedes-Benz,CLA 200 Shooting Brake,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,1950.0,132,Euro 6d,100984,2020,No battery type class,0.0,0.0,2,4.0,29499.0
Mercedes-Benz,Sprinter,Black,Black interior,Other interior material,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,110,2078.0,239,No emission class,30,2023,No battery type class,0.0,0.0,1,4.0,45349.0
Hyundai,Ioniq,Blue,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x2,104,1580.0,92,Euro 6,30305,2018,Lithium polymer (Li-pol),2.0,9.666666666666666,Unknown,5.0,18899.0
Renault,Modus,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,82,1598.0,179,Euro 5,77000,2011,No battery type class,0.0,0.0,Unknown,3.0,7699.0
BMW,118,Grey,Black interior,Full leather interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,100,1499.0,143,Euro 6,40008,2022,No battery type class,0.0,0.0,1,3.0,34599.0
Skoda,Superb,Grey,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,132,1798.0,129,Euro 6,136500,2017,No battery type class,0.0,0.0,Unknown,3.0,18999.0
Mercedes-Benz,GLC 200,Grey,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,145,1991.0,152,Euro 6d-TEMP,76900,2019,No battery type class,0.0,0.0,1,4.0,41349.0
Volkswagen,Golf,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,150,1395.0,106,Euro 6,45000,2021,Lithium-ion (Li-ion),4.0,13.0,Unknown,3.0,25149.0
Opel,Karl,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,54,999.0,118,Euro 6d-TEMP,56300,2019,No battery type class,0.0,0.0,2,3.0,12249.0
Opel,Mokka,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,96,1199.0,111,Euro 6,50222,2022,No battery type class,0.0,0.0,1,2.0,23149.0
BMW,320,Blue,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,135,1998.0,135,Euro 6d,69998,2020,No battery type class,0.0,0.0,1,4.0,32599.0
Skoda,Karoq,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,85,1598.0,120,Euro 6,59689,2017,No battery type class,0.0,0.0,Unknown,7.0,18999.0
Volvo,XC40,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,96,1477.0,147,Euro 6d-TEMP,53690,2021,No battery type class,0.0,0.0,Unknown,3.0,26899.0
Mercedes-Benz,A 200,Grey,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,120,1332.0,123,No emission class,71500,2019,No battery type class,0.0,0.0,1,4.0,27299.0
Mazda,MX-30,White,Brown interior,Part leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,107,1627.0,0,No emission class,6990,2021,Lithium-ion (Li-ion),1.5,36.0,1,3.0,23599.0
Opel,Corsa,Black,Black interior,Part leather interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,1009.0,0,No emission class,6552,2023,Lithium-ion (Li-ion),1.0526315789473684,50.0,Unknown,3.0,34649.0
BMW,420 Gran Coupé,Green,Beige interior,Part leather interior,Coupe,4/5 doors,5,Petrol,Automatic,4x2,135,1995.0,154,No emission class,250,2023,No battery type class,0.0,0.0,Unknown,4.0,50749.0
Volkswagen,Golf,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,85,1598.0,108,Euro 6d-TEMP,39258,2019,No battery type class,0.0,0.0,Unknown,3.0,23549.0
Mercedes-Benz,Sprinter,Green,Black interior,Other interior material,Cargo VAN,4/5 doors,2,Diesel,Automatic,4x2,120,2143.0,211,Euro 6,50000,2019,No battery type class,0.0,0.0,1,4.0,33649.0
MINI,Cooper,Black,Black interior,Cloth interior,Hatchback,2/3 doors,5,Petrol,Manual,4x2,100,1499.0,117,Euro 6d,71000,2019,No battery type class,0.0,0.0,Unknown,4.0,18599.0
Audi,A1,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,81,999.0,110,Euro 6,24690,2022,No battery type class,0.0,0.0,Unknown,4.0,24099.0
Ford,Focus,Red,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,136,Euro 6d-TEMP,16883,2022,No battery type class,0.0,0.0,1,5.0,27599.0
MINI,Cooper,Black,Other interior color,Other interior material,Hatchback,2/3 doors,5,Petrol,Manual,4x2,101,1499.0,128,No emission class,15000,2022,No battery type class,0.0,0.0,Unknown,4.0,30249.0
Audi,A4,Blue,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,120,1968.0,108,Euro 6,18554,2022,No battery type class,0.0,0.0,Unknown,2.0,35949.0
MINI,Cooper Cabrio,Grey,Black interior,Full leather interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x2,100,1499.0,112,Euro 6d-TEMP,25600,2020,No battery type class,0.0,0.0,1,4.0,26749.0
BMW,320,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140,1995.0,114,Euro 6,59618,2020,No battery type class,0.0,0.014084507042253521,2,4.0,35149.0
Opel,Corsa,Silver,Grey interior,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,1199.0,96,Euro 6,34500,2022,No battery type class,0.0,0.0,1,3.0,15849.0
Audi,A5,White,Black interior,Part leather interior,Sedans / saloons,2/3 doors,4,Diesel,Automatic,4x2,140,1968.0,117,No emission class,68399,2019,No battery type class,0.0,0.014084507042253521,1,4.0,30499.0
Opel,Crossland,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,96,1199.0,112,Euro 6,14,2023,No battery type class,0.0,0.0,Unknown,3.0,26249.0
Mercedes-Benz,GLA 200,Black,Grey interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,100,2143.0,141,Euro 6,112121,2019,No battery type class,0.0,0.0,Unknown,5.0,21799.0
Ford,Kuga,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,202,Euro 6d-TEMP,28791,2019,No battery type class,0.0,0.0,2,5.0,21099.0
DS Automobiles,DS7 Crossback,White,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,96,1499.0,105,Euro 6d,10,2023,No battery type class,0.0,0.0,Unknown,3.0,37349.0
BMW,M235,White,Black interior,Full leather interior,Coupe,2/3 doors,5,Petrol,Automatic,4x4,225,1998.0,162,Euro 6d-TEMP,39756,2020,No battery type class,0.0,0.0,2,4.0,40549.0
Volkswagen,Golf,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,106,Euro 6,31239,2020,No battery type class,0.0,0.0,Unknown,4.0,28349.0
Audi,A3,Grey,Black interior,Part leather interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,111,Euro 6d-TEMP,16180,2020,No battery type class,0.0,0.0,1,4.0,35149.0
Land Rover,Range Rover,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,190,2993.0,183,Euro 6d,95000,2018,No battery type class,0.0,0.0,Unknown,5.0,65699.0
Renault,Twingo,White,Grey interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Manual,4x2,54,998.0,102,Euro 6d-TEMP,31900,2020,No battery type class,0.0,0.0,1,3.0,12849.0
Peugeot,2008,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,1199.0,111,Euro 6d,25700,2019,No battery type class,0.0,0.0,2,3.0,18849.0
Hyundai,i20,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,63,1248.0,114,Euro 5,56069,2013,No battery type class,0.0,0.0,2,5.0,7299.0
Audi,RS3,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,294,2480.0,194,Euro 6d-TEMP,27911,2019,No battery type class,0.0,0.0,Unknown,4.0,45349.0
Ford,Transit,White,Grey interior,Cloth interior,Cargo VAN,4/5 doors,9+,Diesel,Manual,4x2,110,1998.0,188,Euro 6,10,2023,No battery type class,0.0,0.0,1,5.0,47799.0
Toyota,Avensis,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,108,1798.0,139,Euro 6,157000,2015,No battery type class,0.0,0.0,1,5.0,10799.0
Audi,A1,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,999.0,119,Euro 6,40000,2021,No battery type class,0.0,0.0,Unknown,4.0,23099.0
Mazda,3,White,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,110,1998.0,123,Euro 6d-TEMP,13500,2022,No battery type class,0.0,0.0,1,3.0,29849.0
Opel,Crossland,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,96,1200.0,107,Euro 6d,38300,2020,No battery type class,0.0,0.0,1,3.0,19849.0
Skoda,Enyaq,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,150,1373.0,0,No emission class,10,2023,Lithium-ion (Li-ion),3.3333333333333335,82.0,Unknown,3.0,46999.0
Mercedes-Benz,GLC 220,Red,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,145,1993.0,140,Euro 6d,9262,2022,No battery type class,0.0,0.0,1,4.0,65799.0
Audi,Q2,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,85,1968.0,107,Euro 6,28878,2022,No battery type class,0.0,0.0,Unknown,4.0,35549.0
Skoda,Kamiq,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,999.0,108,No emission class,15208,2022,No battery type class,0.0,0.0,Unknown,3.0,21899.0
Volkswagen,Polo,White,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,70,999.0,109,Euro 6,40476,2019,No battery type class,0.0,0.0,1,3.0,19249.0
Citroen,C3,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,60,1199.0,100,Euro 6d,12539,2022,No battery type class,0.0,0.0,1,4.0,17349.0
Renault,Captur,Red,Beige interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,96,1332.0,125,Euro 6,41307,2019,No battery type class,0.0,0.0,1,5.0,21599.0
Volkswagen,Polo,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,999.0,101,Euro 6d-TEMP,26100,2020,No battery type class,0.0,0.0,Unknown,3.0,17949.0
Audi,A4,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,150,1968.0,123,No emission class,25211,2023,No battery type class,0.0,0.0,1,4.0,45049.0
Skoda,Kamiq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,70,999.0,116,Euro 6d-TEMP,25096,2020,No battery type class,0.0,0.0,1,3.0,19199.0
Peugeot,iOn,White,Other interior color,Cloth interior,Hatchback,4/5 doors,4,Electric,Automatic,4x2,49,1040.0,0,No emission class,8990,2019,Lithium-ion (Li-ion),9.0,15.0,1,3.0,11249.0
Skoda,Superb,Black,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140,1968.0,118,Euro 6,84619,2019,No battery type class,0.0,0.014084507042253521,1,3.0,28499.0
BMW,X3,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,215,1998.0,54,Euro 6,72000,2020,Lithium-ion (Li-ion),6.0,12.0,Unknown,4.0,35199.0
Audi,A4,Grey,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,185,1984.0,142,Euro 6,43969,2017,No battery type class,0.0,0.0,1,4.0,30349.0
BMW,318,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,115,1998.0,0,No emission class,46270,2021,No battery type class,0.0,0.0,Unknown,4.0,28299.0
Cupra,Ateca,White,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,221,1984.0,168,Euro 6d-TEMP,46000,2019,No battery type class,0.0,0.0,Unknown,3.0,33949.0
Ford,Kuga,Red,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,1496.0,125,Euro 6d,10,2023,No battery type class,0.0,0.0,Unknown,5.0,28749.0
Renault,Clio,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,66,999.0,116,Euro 6d,10,2023,No battery type class,0.0,0.0,Unknown,3.0,19799.0
Fiat,500,White,Other interior color,Other interior material,Hatchback,2/3 doors,4,Petrol,Manual,4x2,51,999.0,88,No emission class,34979,2022,No battery type class,0.0,0.0,Unknown,3.0,14299.0
BMW,118,Grey,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,103,1499.0,113,Euro 6d-TEMP,23020,2019,No battery type class,0.0,0.0,1,4.0,25649.0
BMW,118,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,110,1995.0,108,Euro 6,33202,2021,No battery type class,0.0,0.0,Unknown,4.0,33899.0
Opel,Astra,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,90,1496.0,92,Euro 6d,62350,2019,No battery type class,0.0,0.0,1,3.0,17849.0
Opel,Corsa,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,1009.0,0,No emission class,2,2022,Lithium-ion (Li-ion),1.0526315789473684,50.0,Unknown,3.0,30449.0
Mazda,3,Red,Black interior,Other interior material,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,88,1998.0,119,Euro 6,82632,2019,No battery type class,0.0,0.0,1,3.0,15849.0
Volkswagen,Touran,Grey,Black interior,Alcantara interior,MPV,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,136,Euro 6d,10,2023,No battery type class,0.0,0.0,1,3.0,37249.0
Skoda,Kamiq,Black,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,116,Euro 6d,64752,2021,No battery type class,0.0,0.0,Unknown,3.0,23499.0
Volkswagen,Golf,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,180,1395.0,106,Euro 6d-TEMP,18056,2023,Lithium-ion (Li-ion),4.0,13.0,Unknown,3.0,47049.0
